id_persona,nombre,curp,rfc,ape_pat,ape_mat,tel_fijo,correo,tel_mov,tipo_persona,id_direccion
00001,Zoé,GÓPZ760317GY99,GÓZ7301012SO,Gómez,Ponce,674.439.9567x70,miriam02@yahoo.com,1-933-723-8807,P,00001
00002,Eloisa,AGQE791102RL78,AGE22122891R,Aguayo,Quintanilla,205-015-0973x99,tijerinahernan@hotmail.com,1-926-457-3894,E,00002
00003,Darío,RIQD010129MO67,RID9610011CN,Rico,Quiñónez,228.338.8465x30,ttrejo@yahoo.com,443.026.9412x56,E,00003
00004,Natalia,HILN111002VB99,HIN9808206WH,Hinojosa,Lemus,257.864.4583x03,otirado@gmail.com,03276005227,P,00004
00005,Micaela,CIGM900327ZU68,CIM730409CZP,Cisneros,Godínez,873-080-4955,smiranda@proyectos.net,311.815.1493,E,00005
00006,Ofelia,NAGO890320VG32,NAO59061535D,Naranjo,Guillen,211-138-5704x51,ffajardo@aleman.com,1-939-599-5086x,E,00006
00007,Amanda,RIVA400323HU08,RIA161111AR0,Rico,Valadez,098.505.1963x12,esperanza22@zaragoza-burgos.biz,344.031.1288x63,P,00007
00008,Emilio,CACE590211JL15,CAE051227SU6,Castillo,Cornejo,(217)045-6269x2,eloyelizondo@hotmail.com,107-230-3293x25,E,00008
00009,Elvia,GRZE620518HL40,GRE3210035A2,Granados,Zarate,1-911-492-1249,jorgebalderas@gmail.com,581-584-7478x98,P,00009
00010,Dulce,BALD540321VH99,BAD2106051B2,Balderas,Lomeli,+34(5)464451889,valdesjose-carlos@pineda.com,1-106-090-8559x,E,00010
00011,Reynaldo,SACR800410RR84,SAR5710189XT,Sanches,Correa,116-539-6834x17,bcornejo@hotmail.com,(581)168-8040,P,00011
00012,Silvia,GURS300107IF42,GUS270208S75,Gutiérrez,Ramírez,(801)712-2571x6,rodolfo12@tapia-zamora.info,+12(1)099746979,P,00012
00013,Elsa,DEME240109NW73,DEE5310290C9,de la Fuente,Mercado,(797)380-4991x2,venegasabigail@hotmail.com,250-235-2523,P,00013
00014,Magdalena,MOMM241111RF38,MOM720405TOC,Montenegro,Menéndez,311.019.7809,alfonso26@hotmail.com,(527)380-4743x1,E,00014
00015,Aldo,VAMA441024KR20,VAA110110O9F,Valle,Mireles,1-184-454-2933,trinidadcenteno@ortiz-caldera.info,378.454.8721x61,P,00015
00016,Celia,CAVC951005QZ22,CAC850224J7Q,Casillas,Venegas,187-478-9367,gallegosruby@industrias.com,(755)829-1181x5,E,00016
00017,Rosa,LEMR830113YG00,LER4804303BI,Leal,Moya,916-922-7623,barbara93@vallejo.biz,+26(0)819851354,P,00017
00018,Julia,ANMJ070402FK89,ANJ180315BF4,Angulo,Mendoza,00869852507,mitzy05@hotmail.com,1-166-590-6896x,E,00018
00019,Rolando,RUCR710515ZP86,RUR480122524,Ruiz,Calderón,(974)197-0980x0,espartacomiranda@hotmail.com,(969)100-1475x9,E,00019
00020,Jacinto,VEHJ161219WE00,VEJ2003083S4,Vera,Huerta,(946)397-8376x9,ontiverosrodolfo@grupo.com,(676)615-3162x2,P,00020
00021,Óscar,BEAÓ390310IA04,BEÓ580219IF0,Benítez,Anguiano,(800)269-3265x8,hgamez@aponte.net,1-400-501-3912,E,00021
00022,Isabel,ESQI110802ML19,ESI861114CUC,Estrada,Quiñones,(866)189-3446,trazo@yahoo.com,452.245.0590,P,00022
00023,Adela,RAVA490804FO09,RAA970122IXL,Ramón,Villanueva,(712)247-0758x9,rmonroy@gmail.com,1-340-424-4674x,P,00023
00024,Alicia,ANRA721125HG37,ANA750401B4K,Anaya,Rico,1-722-500-8473,vtijerina@gmail.com,373.841.1096,E,00024
00025,Lucas,SESL660818SU05,SEL890107XH0,Serrano,Santillán,+29(3)143075347,ulira@yahoo.com,549-626-1672,E,00025
00026,Luis Manuel,RAVL130416SY69,RAL3306297BV,Raya,Valle,(958)645-4220,gallegosaraceli@hotmail.com,+15(5)078045090,E,00026
00027,Jorge Luis,BAAJ181031XT63,BAJ291012157,Bahena,Almanza,(017)588-6183,kvaldez@viera.net,02446076174,E,00027
00028,María,CACM901230PW54,CAM26081614L,Carmona,Centeno,380.937.7991x80,sararomo@gmail.com,757-883-1426x44,P,00028
00029,Jorge,ULOJ140909TM14,ULJ310102EJ2,Ulibarri,Ojeda,080.887.8153,cantuofelia@hotmail.com,562-300-7858x74,E,00029
00030,Esther,LIBE170307YU35,LIE950320OKC,Lira,Barajas,08417424869,ysaldivar@hotmail.com,+75(3)142989064,E,00030
00031,Adriana,SAYA320607OU12,SAA161217JPE,Santacruz,Yáñez,027-370-3615,tovarisabela@gmail.com,(762)270-1852,E,00031
00032,Carla,TABC500424RI45,TAC310527QZD,Tafoya,Bernal,05705287332,tejadawilfrido@club.net,08736112661,P,00032
00033,Jesús,OCRJ160906OJ21,OCJ2301203F2,Ocasio,Rosales,747.640.8461,robledorocio@proyectos.com,(850)101-3048x6,E,00033
00034,Caridad,LOOC640224YW19,LOC160810O7N,Lozada,Otero,207-703-4705x86,darioluna@gmail.com,613-052-7743,E,00034
00035,Olivia,TAPO150828YU34,TAO540222NCZ,Tamez,Patiño,(826)307-2301x4,zoearguello@armenta-lemus.com,(155)917-1903x4,P,00035
00036,Mauro,TEMM131226ZP07,TEM480830JQO,Tejeda,Marrero,961.757.3691x46,corosco@hotmail.com,(431)975-9123x7,P,00036
00037,Clara,URPC860202HE90,URC810413TVO,Uribe,Pedraza,08969699798,aurorajuarez@hotmail.com,578.671.5276x46,E,00037
00038,Wendolin,CAOW180803IO13,CAW290213WB2,Carbajal,Olivera,03655210214,maganaesmeralda@yahoo.com,(624)750-9412,E,00038
00039,Blanca,CAEB541220RF65,CAB580909EHF,Canales,Escalante,797-721-6841x23,urbinapascual@alcala.org,1-843-719-4087x,P,00039
00040,Hermelinda,CEVH350320SJ92,CEH150119THI,Centeno,Viera,1-669-975-1786x,vallejorafael@hernadez.com,+52(1)636869781,E,00040
00041,Francisco,ECMF391223BT87,ECF07122981Y,Echeverría,Murillo,1-540-811-9027,soledad34@corporacin.info,1-126-738-5340,P,00041
00042,Porfirio,LLPP260720TX90,LLP7512260Q5,Llamas,Pizarro,06657849546,esperanzalugo@negrete.com,682.617.5519x76,E,00042
00043,Alma,ALLA120605DF98,ALA040528J75,Alejandro,Loya,1-355-753-8999,ocarrera@hotmail.com,189.101.5427,P,00043
